Growth over next 10 years,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0.032461102,0.064932742,0.097414922,0.129907646,0.162410918,0.194924741,0.227449118,0.259984053,0.292529549,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.325085609,0.338851729,0.352619738,0.366389636,0.380161423,0.3939351,0.407710667,0.421488125,0.435267472,0.449048711,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.46283184,0.540838682,0.659559195,1.036267503,1.020680728,0.987105202,1.192962768,0.948598007,1.251582435,1.281856506,1.37923736,1.12318754,0.907039646,0.441256148,0.372753998,0.347353135,-0.041326508,0.185374776,-0.054977183,-0.219480981,-0.412673246,-1.021530711,-1.412459385,-0.554680269,-0.247184377,0.014445302,0.384101936,-0.615730469,-0.214920221,-0.346148882,-0.278071204,1.488191814,2.828222911,2.345505274,1.879703378,1.287148151,1.755925889,0.812786691,-0.712565016,-0.736250937,-1.321189786,-2.372118912,-4.012890109,-5.77565165,-6.637508788,-4.580642258,-4.989541086,-2.896121951,-1.630293566,-1.126041841,-0.662009477,-1.687631497,1.132383344,3.458039748,4.864459064,3.800768729,3.691832957,4.468040695,4.189512255,5.579958058,6.226507451,7.80258651
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.103857756,0.114749875,0.125643179,0.136537669,0.147433343,0.158330204,0.169228249,0.180127481,0.191027899,0.201929502,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.212832292,0.338266515,0.463857741,0.589606167,0.71551199,0.841575406,0.967796613,1.094175808,1.220713189,1.347408955,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.474263303,1.463932604,1.453602956,1.443274361,1.432946817,1.422620324,1.412294883,1.401970493,1.391647154,1.381324865,1.371003628,1.365039826,1.359076375,1.353113274,1.347150525,1.341188126,1.335226078,1.32926438,1.323303034,1.317342038,1.311381393,1.308328525,1.305275748,1.302223064,1.254660275,1.207119817,1.15960168,1.112105854,1.064632327,1.01718109,0.969752132,0.92538668,0.881040721,0.836714248,0.836714248,0.836714248,0.836714248,0.836714248,0.836714248,0.836714248,0.790105068,0.743517433,0.696951331,0.650406753,0.60388369,0.55738213,0.510902064,0.464443483,0.418006376,0.371590734,0.371590734,0.371590734,0.371590734,0.371590734,0.371590734,0.371590734,0.371590734,0.371590734,0.371590734,0.371590734,0.371590734,0.75924039,0.738015903,1.100616717,1.355916733,1.851739007,1.915889366,2.512921865,2.927483491,3.305214801,3.778190107,3.426116779,3.746826816,3.683576016,3.732804961,3.55997252,3.837901071,3.576856942,3.487678961,3.415857979,3.279835817,3.599678727,3.660237455,3.816545822,3.50602718,3.171672103,2.833697755,2.499183287,2.183339836,1.892178626,1.595187902,1.251941906,0.919135273,0.488252007,0.507908333,0.52541488,0.548933701,0.568125051,0.585421155,0.612075509,0.630757123,-2.802523285,-3.67294749,-2.91562807,-2.271742438,-1.159852978,-0.399944392,-1.565833249,-0.482997195,0.356387794,0.928531951,5.116622804,6.308027222,5.978433067,5.770858238,5.03371682,4.702898834,6.436251208,5.910078762,5.247037887,4.865377865,4.444402701
Algeria,-0.002464578,-0.002464578,-0.002464578,-0.002464578,-0.002464578,-0.002464578,-0.002464578,-0.002464578,-0.002464578,-0.002464578,-0.002464578,0.099416328,0.201401035,0.303489646,0.40568227,0.50797901,0.610379974,0.712885268,0.815494997,0.918209269,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.021028189,1.032754717,1.044482606,1.056211856,1.067942467,1.079674441,1.091407776,1.103142473,1.114878532,1.126615954,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.138354738,1.067538334,0.996771515,0.926054246,0.855386494,0.784768222,0.714199397,0.643679983,0.573209947,0.502789254,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.432417868,0.257386514,0.427253577,0.331882115,0.777771659,0.79186791,1.476026851,2.312708675,2.422258516,3.906872398,4.344656742,2.938719574,0.408135942,2.591190662,2.31127904,2.608446002,1.056449184,0.747467837,1.411122358,0.548025061,0.746042357,1.060602111,5.069669745,2.916552799,3.002444354,3.037919694,4.220187864,4.223035176,4.320894444,4.249356459,3.431547915,4.586298758,3.225006527,3.388832549,3.314097438,3.126144219,2.38402255,1.469000964,0.079407904,-0.401924223,-0.671773144,-0.959146237,-1.333896719,-1.964296074,-2.48886333,-2.51801407,-1.953045444,-1.677158002,-0.865192568,-0.776189418,-0.28126389,0.186411564,0.515094515,1.510721755,2.212330742,2.420342872,2.242953454,2.488041981,2.184098959,2.032265848,2.138921853,2.111355072
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0.032427065,0.064864644,0.097312742,0.129771363,0.162240508,0.194720182,0.227210389,0.259711131,0.292222412,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.324744236,0.723762601,1.124367969,1.526566652,1.930364987,2.335769336,2.742786086,3.151421651,3.561682469,3.973575005,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.387105747,4.094429387,3.802573622,3.511536151,3.221314678,2.931906917,2.643310585,2.355523409,2.068543118,1.782367451,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.496994152,1.366166553,1.235507588,1.10501704,0.974694691,0.844540326,0.714553726,0.584734677,0.455082962,0.325598366,0.196280672,0.196280672,0.196280672,0.196280672,0.196280672,0.196280672,0.196280672,0.196280672,0.340428374,0.484783454,0.629346211,0.774116944,0.919095952,1.064283534,1.209679991,1.355285623,1.501100731,1.647125616,1.647125616,2.021794721,2.397844848,2.775281088,3.15410855,4.655033182,6.177796737,,,,
Andorra,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.165947699,0.26629104,0.366734902,0.467279386,0.567924592,0.668670622,0.769517576,0.870465556,0.971514663,1.072664997,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.173916661,1.433887458,1.69452626,1.955834786,2.217814755,2.480467893,2.743795929,3.007800599,3.27248364,3.537846796,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.803891814,3.3545102,3.250127634,3.133305951,2.838013209,2.080459812,1.645919018,1.202777697,0.630366197,-0.1182623,-0.701976752,-1.14678261,-1.82213586,-2.422440932,-2.784893234,-2.563187427,-2.451823977,-2.032111401,-1.499590502,-0.859923541,-0.56848689,-0.208840888,-0.176645115,-0.404044129,-0.28553793,-0.159005745,0.084577732,0.543937721,0.519844408,0.640002733,0.599053362,1.713449794,2.461646308,3.481351809,4.079435597,4.521228626,4.447160037,3.412472839,2.485324186,1.420148277,0.884565338,-0.510867192
Angola,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.425302812,0.675805018,0.92693208,1.178685556,1.43106701,1.684078007,1.937720118,2.191994918,2.446903983,2.702448898,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.958631247,2.894163093,2.829810531,2.75590829,2.027424042,2.364564788,1.719254532,2.193289224,2.258495755,1.835008498,1.765451351,2.636894329,1.946808748,2.061847034,3.411988825,3.343841891,4.107777011,3.733547054,3.031062177,3.276338264,3.501342807,2.778230429,3.032029395,3.258701829,2.412265509,1.068304583,-0.126856879,-0.709807281,-1.200544004,-1.572949499,-2.05221499,-3.192947949,-3.347165343,-3.829570743,-3.665910633,-2.895091613,-2.088655451,-1.488404761,-0.38162803,-0.334618731,-0.607779902,-0.023514472,-0.587632688,-3.645039179,-4.057893065,-3.033206743,-1.560899949,-1.714113932,-2.267395952,-2.018080023,-1.707889703,-1.523183913,0.403737101,3.510313898,4.45355256,4.917545822,4.764989185,6.370498322,7.732929412,7.641239611,7.711061726,7.840212882
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0.065882592,0.131808589,0.19777802,0.263790914,0.329847298,0.395947202,0.462090655,0.528277684,0.594508319,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.838372412,1.016275546,1.194492544,1.37302396,1.551870348,1.731032265,1.910510266,2.090304909,2.270416753,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,1.811737858,2.552979529,2.610634239,2.254039631,2.284998961,2.158158496,1.907546749,2.380729273,3.06027196,3.293199876,4.059941146,2.928971418,2.578660233,3.000410129,3.572775049,4.481222136,5.193677332,5.401092447,4.993653027,4.600836198,3.688009128,4.243189663,4.767442153,5.013101831,3.684063141,2.716684133,2.887256494,2.801238975,2.47922928,2.344354763,2.96221628,2.210806464,1.823385131,3.094181607,4.216762159,5.774295541,5.912981412,4.668920508,2.148490615,1.596353055,1.723601896
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0.065882592,0.131808589,0.19777802,0.263790914,0.329847298,0.395947202,0.462090655,0.528277684,0.594508319,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.660782589,0.838372412,1.016275546,1.194492544,1.37302396,1.551870348,1.731032265,1.910510266,2.090304909,2.270416753,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.450846358,2.683328026,2.908378387,3.268564568,3.19289833,2.27691851,1.08230007,1.636785593,1.885679822,2.851106012,3.428547941,3.57863511,3.260571538,3.447849745,4.152721525,5.790554258,7.868620705,8.170709073,8.680212204,8.183415284,7.660957561,7.165636477,6.933452283,6.432680433,5.914101959,4.236334676,3.581620681,2.717307957,1.923384998,1.354733817,0.963863503,0.83513762,0.980627014,1.037890323,1.240053397,2.267785915,2.972059611,3.313814787,3.166219934,1.725507622,0.89182795,0.563430934
